video_id,cvt_per_day,weighted_categorical_position,weighted_horizontal_poition,import_id,release_year,genres,imdb_votes,budget,boxoffice,imdb_rating,duration_in_mins,metacritic_score,awards,mpaa,star_category
316457,27023.45969,4,11,lionsgate,2004,"Thriller,Sci-Fi,Action",27621,1500000,8551228,6.199999809,94.51263333,43,other award,PG-13,2.933333333
358572,26728.07989,3,10,mgm,2008,"Comedy,Drama",63071,27000000,2775593,6.5,109.7694917,35,no award,R,1.494791667
389501,26708.46694,4,23,mgm,1992,Western,3394,10000000,18290000,5.400000095,111.15155,0,other award,R,1.504166667
307746,26424.25411,4,8,lionsgate,2006,Horror,146499,4800000,47277326,5.900000095,93.44523333,55,other award,R,1.575
321127,26319.64566,5,11,lionsgate,1997,"Crime,Drama,Documentary,Romance",8570,3000000,4109095,6,113.2680167,57,other award,R,1.058823529
389514,26208.84664,4,13,mgm,2008,"Action,Drama",4081,1500000,8551228,4.699999809,91.79535,57,other award,NotRated,1.077777778
321133,26160.24997,7,10,lionsgate,2011,"Animation,Adventure,Kids & Family,Comedy",851,0,0,4.5,92.16793333,0,no award,PG,1
312193,26151.40205,4,14,mgm,1984,"Action,Drama,Adventure,Thriller",64288,65000000,44800706,5.400000095,114.01275,31,other award,PG-13,1.853333333
300170,25930.23525,4,14,lionsgate,2007,"Drama,Horror,Thriller,Mystery",13919,1200000,8551228,5.099999905,94.51666667,57,no award,R,1
393462,25903.21029,4,9,lionsgate,2005,"Documentary,Action,Adventure",44985,1500000,8551228,7.800000191,104.49545,87,other award,R,2
382238,25750.91152,4,4,other,2015,"Romance,Comedy",384,0,0,5.5,86.33293333,0,no award,NotRated,1.616666667
385508,25112.73677,3,9,lionsgate,2008,"Romance,Comedy,Drama",18743,1500000,8551228,6.699999809,92.62675,57,Golden Globe,PG-13,2.25
316459,24601.30656,5,11,lionsgate,1997,"Thriller,Mystery,Sci-Fi",172672,1500000,8551228,7.300000191,90.3856,61,other award,R,1.666666667
299591,24358.72267,4,12,lionsgate,1997,"Comedy,Drama,Mystery,Thriller,Crime",23404,5000000,1692872,7,106.7166667,43,no award,R,2.1125
351418,24307.83044,5,10,other,2014,"Thriller,Independent,Horror",25331,4000000,9134,6.300000191,92.52516405,44,other award,R,1.733333334
348937,23885.30894,5,14,lionsgate,2003,"Horror,Crime",79188,7000000,16901126,6.900000095,88.9228618,53,other award,R,1.457142857
300445,23276.45338,8,11,mgm,1989,"Kids & Family,Animation,Comedy,Drama",28010,13800000,27100027,6.699999809,84.61666667,50,other award,G,1.522222222
289821,23259.09797,5,19,lionsgate,2013,"Thriller,Crime,Horror",20048,1500000,8551228,5.699999809,106.1666667,57,no award,R,1
376102,22961.50992,7,22,lionsgate,1999,"Action,Crime,Drama",894,0,0,4.099999905,96.46458333,0,no award,R,1.758333333
393890,22925.97721,4,19,mgm,1986,"Action,Sci-Fi",0,0,0,0,103.8768,0,no award,R,2.15
307852,22538.51589,5,15,paramount,2003,"Action,Adventure,Drama,Thriller,Mystery",37082,55000000,34238611,6,94.37751667,40,other award,R,2.866666667
314518,22091.07192,6,15,paramount,2012,"Comedy,Adventure,Action",11928,14000000,9402410,5.400000095,86.40008333,37,no award,PG-13,2.316666667
371062,21722.53483,2,24,lionsgate,2013,"Horror,Comedy",68951,1000000,18474268,6.5,94.54811667,66,other award,R,1.0625
389512,21658.33334,5,12,mgm,2007,Sci-Fi,17321,1500000,8551228,7.400000095,101.89515,57,no award,NotRated,1.45
377068,21212.0214,3,7,other,2014,"Action,Western",249,2000000,0,4.699999809,94.23515,0,other award,NotRated,1.733333334
314323,21075.36377,5,5,mgm,1985,"Drama,Sci-Fi,Action,Horror,Mystery",16412,25000000,8551228,6.099999905,117.1018167,57,other award,R,1.666666667
302330,20766.09114,4,14,mgm,1997,"Drama,Crime,Thriller",13765,48000000,22415440,6.300000191,122.2998667,57,other award,R,2.533333333
343311,20684.14326,4,7,lionsgate,2004,"Comedy,Horror,Sci-Fi,Fantasy",4747,1600000,8551228,3.400000095,95.29380972,57,no award,R,1.071428571
321860,20648.11971,9,11,lionsgate,2012,"Mystery,Kids & Family,Adventure,Comedy,Horror,Action",1406,0,0,2.900000095,82.87063333,0,other award,G,1.155555556
332933,20627.11817,8,11,lionsgate,2012,"Kids & Family,Comedy",1554,0,0,3.099999905,80.49113333,0,other award,NotRated,1.176470588
300177,20430.7395,5,18,lionsgate,2009,Comedy,5161,1500000,8551228,5,89.63838333,57,no award,R,1.85625
302431,20219.61406,5,12,lionsgate,2012,Comedy,66343,3500000,35955,6.800000191,97.16666667,44,other award,R,1.25
313913,20145.17505,5,21,lionsgate,2005,"Horror,Fantasy,Thriller,Mystery",8613,3800000,206624,5.199999809,98.03658333,34,other award,R,1.433333333
378475,19910.59143,4,9,other,2000,"Comedy,Drama,Romance",71843,1500000,8551228,7.5,92.11023333,54,Oscar,R,2.666666667
391660,19901.21481,6,27,other,2010,"Drama,Action,Crime,Comedy",17,0,0,3.799999952,95.75666667,0,no award,NotRated,0
304808,19673.49607,3,21,mgm,1989,Comedy,13162,1500000,8551228,5.400000095,99.43333333,57,no award,PG-13,2.033333333
376092,19275.95176,6,21,lionsgate,1986,Horror,11300,2500000,13539458,6,85.9639,57,other award,PG-13,1.366666667
369863,19267.43578,3,23,lionsgate,2013,"Comedy,Romance",9700,2000000,8551228,5.199999809,84.89035,44,no award,R,2.23
355681,18968.4178,3,7,mgm,1979,Horror,29333,4700000,86432520,6.199999809,118.754866,57,Oscar,R,2.1
300833,18945.59103,3,18,lionsgate,2012,"Action,Thriller,Mystery",30593,20000000,3749061,4.900000095,93.31666667,22,other award,PG-13,1.857142857
393888,18914.38914,8,19,mgm,1992,"Action,Sci-Fi",0,0,0,0,105.5132,0,other award,PG-13,2
393461,18778.39664,5,13,lionsgate,2000,"Drama,Horror",0,0,0,0,91.7765,0,Oscar,R,3
352449,18737.36882,4,18,lionsgate,2013,"Comedy,Crime",13672,12000000,261695,5.800000191,100.8275609,60,no award,R,2.566666667
380516,18549.91681,3,11,lionsgate,2014,"Comedy,Drama",34104,1500000,8551228,6.800000191,93.11753333,74,other award,R,2
314543,18402.56117,4,24,paramount,2009,Comedy,10086,7500000,8551228,4.900000095,95.36348333,57,no award,R,1.383333333
314537,18396.44347,5,17,paramount,2002,"Drama,Action,Adventure,Documentary,Thriller,War",51706,100000000,35168677,6.699999809,138.0478,58,other award,PG-13,3.5
310126,18339.3169,3,15,mgm,2008,Comedy,11225,6500000,4693919,4.599999905,94.432,15,no award,R,1
389507,18148.44708,4,8,mgm,2005,War,9642,12000000,49753,5.599999905,106.77795,42,Golden Globe,R,1.686111111
393885,18078.02588,14,8,mgm,1984,"Action,Adventure",971,0,0,4.800000191,126.042,0,no award,R,2.766666667
306829,17896.576,7,12,paramount,1998,"Adventure,Comedy,Drama,Kids & Family",12457,23000000,27008669,6.5,91.40575,57,other award,PG,2
356529,17806.04441,5,8,mgm,1988,"Comedy,Crime",113338,7500000,63493712,7.599999905,107.9572628,80,Oscar,R,2.708333333
305432,17723.8342,7,17,paramount,2009,"Drama,Horror,Sci-Fi",36577,1500000,8551228,6,84.56166667,57,other award,PG-13,2.39
334157,17706.83356,3,9,mgm,1990,"Comedy,Drama,Romance",23145,31000000,35419397,6.599999905,110.24595,57,Golden Globe,PG-13,2.38
329434,17577.12918,5,12,lionsgate,2011,"Kids & Family,Comedy,Drama,Romance",4403,1500000,8551228,6.5,90.82996667,57,other award,NotRated,1.207291667
302149,17491.51442,2,8,mgm,1985,"Action,Thriller",5157,7000000,8551228,6,100.5,57,no award,R,1.333333333
312182,17397.19167,10,12,mgm,1994,"Crime,Drama,Romance",2816,7000000,20851521,6.699999809,119.1247333,0,other award,R,2.27
394492,17389.65524,4,13,mgm,2000,"Comedy,Drama",0,0,0,0,111.4971833,0,Oscar,R,2.341666667
304804,17380.71451,10,13,mgm,2000,Drama,931,0,0,7.699999809,96.86666667,0,Golden Globe,R,2.616666667
321865,16850.74006,5,15,lionsgate,2002,"Action,Drama,Thriller",6539,11000000,8551228,5.800000191,96.46111667,57,no award,R,1.25
307874,16842.52325,10,20,paramount,1996,"Action,Adventure,Sci-Fi,Fantasy",28753,45000000,17300889,4.900000095,100.2877667,57,other award,PG,2
348454,16838.84557,2,10,mgm,2008,"Crime,Horror,Thriller",27582,8000000,108662,6,94.84969445,55,no award,R,1.111111111
300444,16625.20369,6,10,mgm,2003,"Action,Adventure,Comedy",28410,26000000,47285499,5,102.1666667,41,other award,PG,1.63
305461,16406.27433,4,8,paramount,1990,"Horror,Drama,Mystery",79621,25000000,26118851,7.5,112.9906333,62,other award,R,2.03
386235,16337.81833,6,19,other,2010,Action,37,0,0,4.400000095,96.3478,0,other award,NotRated,0
342067,16319.51075,7,19,other,2014,"Kids & Family,Comedy,Fantasy",2367,0,0,5.5,92.56339673,0,other award,NotRated,0
307850,16278.12905,11,9,paramount,2002,"Animation,Comedy,Adventure,Kids & Family",4988,3000000,13684949,5.900000095,75.77988333,47,other award,PG,1
332935,16187.52933,4,19,lionsgate,2012,Comedy,169,2000000,0,3.599999905,77.50815,0,no award,R,1.113333333
299579,16174.32308,6,23,lionsgate,1983,"Drama,Crime,Mystery",11516,1500000,8551228,7.199999809,123.6619,57,other award,R,1.94
273565,16074.89806,6,14,paramount,2012,"Comedy,Drama",57677,10000000,4244155,6.5,83.02721667,60,other award,R,3
321855,16059.43953,10,16,lionsgate,2008,"Crime,Drama",459,0,0,3.599999905,76.30765,0,no award,R,1.25
302322,16043.97779,4,11,mgm,2002,"Crime,Drama",6308,10000000,6044618,5.599999905,96.29061667,16,other award,R,1.95
268541,15819.22899,6,4,paramount,2006,"Drama,Crime",198310,50000000,2208939,7.5,147.6854667,56,other award,R,1.766666667
314511,15787.49481,5,14,other,2010,"Thriller,Foreign/International,Action,Crime,Adventure,Drama",27410,18000000,8551228,6.699999809,117.5084,57,no award,NotRated,2.3
307879,15771.92194,6,24,paramount,1997,"Action,Adventure,Romance,Sci-Fi,Thriller",54215,68000000,61355436,6.199999809,116.1613167,50,other award,PG-13,2.666666667
311131,15717.45022,4,29,paramount,1983,"Horror,Thriller",29615,5000000,21200000,6,92.788,57,other award,R,1.566666667
326895,15686.97102,8,17,lionsgate,1986,"Action,Crime,Thriller",24058,8500000,16209459,5.5,105.7508833,57,no award,R,1.375
313191,15671.51443,12,6,mgm,1990,"Drama,Comedy",365,0,0,2.799999952,89.86928333,0,no award,R,0
289828,15622.92373,4,23,lionsgate,2012,Action,5461,10000000,8551228,4.900000095,97.81666667,57,other award,R,1.475
312180,15541.72589,4,19,mgm,1990,"Crime,Drama,Romance,Thriller",8543,1500000,8551228,6.400000095,129.98595,56,no award,R,2.466666667
307756,15525.88604,5,9,lionsgate,1998,"Drama,Romance",6225,1500000,8551228,6.300000191,88.34613333,57,other award,R,2.65
376114,15458.09956,7,15,lionsgate,2006,"Crime,Drama,Thriller",406,1000000,0,4.800000191,87.46075,0,no award,R,1.290625
312198,15169.13688,5,15,mgm,1999,Horror,56750,29000000,50041732,6.199999809,102.1633333,28,other award,R,2.8
